rank,name,deck_freq,copies,winrate,play_time,play_freq,play_winrate
95,Antique Healbot,0.087,1.200,0.522,70000,0.003,0.509
96,Poison Seeds,0.067,1.800,0.573,68000,0.003,0.527
97,Sylvanas Windrunner,0.101,1.000,0.535,67000,0.003,0.565
98,Novice Engineer,0.037,1.800,0.499,67000,0.003,0.500
99,Blizzard,0.050,1.500,0.509,67000,0.003,0.462
100,Muster for Battle,0.048,1.900,0.619,65000,0.003,0.531
101,Naturalize,0.044,1.800,0.526,64000,0.003,0.519
102,Excavated Evil,0.053,1.700,0.551,63000,0.003,0.492
103,Reno Jackson,0.116,1.000,0.529,63000,0.003,0.560
104,Lightning Storm,0.053,1.600,0.494,63000,0.003,0.433
105,Kabal Crystal Runner,0.038,1.900,0.611,62000,0.003,0.579
106,Fungalmancer,0.072,1.800,0.614,61000,0.003,0.563
107,Plated Beetle,0.044,1.500,0.510,61000,0.003,0.491
108,Loatheb,0.095,1.000,0.559,61000,0.003,0.553
109,Swashburglar,0.039,1.900,0.554,60000,0.003,0.496
110,Psychic Scream,0.081,1.600,0.549,60000,0.003,0.538
111,"N'Zoth, the Corruptor",0.133,1.000,0.528,58000,0.002,0.612
112,Lifedrinker,0.036,1.700,0.496,58000,0.002,0.510
113,Despicable Dreadlord,0.063,1.200,0.557,58000,0.002,0.554
114,Twilight Drake,0.041,1.600,0.556,56000,0.002,0.511
115,Glacial Shard,0.038,1.600,0.522,56000,0.002,0.471
116,Netherspite Historian,0.034,1.900,0.552,56000,0.002,0.498
117,Eaglehorn Bow,0.045,1.800,0.583,56000,0.002,0.507
118,Obsidian Statue,0.067,1.800,0.545,55000,0.002,0.522
119,Arcane Missiles,0.023,1.800,0.557,55000,0.002,0.463
120,Shadow Word: Horror,0.054,1.700,0.555,55000,0.002,0.558
121,Gang Up,0.046,1.600,0.503,55000,0.002,0.596
122,Southsea Deckhand,0.045,2.000,0.596,55000,0.002,0.536
123,Zola the Gorgon,0.093,1.000,0.509,54000,0.002,0.588
124,Duskbreaker,0.038,1.900,0.544,54000,0.002,0.483
125,Ragnaros the Firelord,0.088,1.000,0.553,54000,0.002,0.591
126,Mana Tide Totem,0.044,1.600,0.504,54000,0.002,0.488
127,Argent Squire,0.040,1.900,0.613,54000,0.002,0.511
128,Drakonid Operative,0.033,1.800,0.553,53000,0.002,0.514
129,Polymorph,0.039,1.300,0.513,51000,0.002,0.433
130,Mountain Giant,0.041,1.400,0.558,51000,0.002,0.579
131,Lesser Amethyst Spellstone,0.044,1.700,0.549,50000,0.002,0.510
132,Darkbomb,0.056,1.100,0.556,50000,0.002,0.550
133,Frost Nova,0.029,1.700,0.493,50000,0.002,0.470
134,Vilespine Slayer,0.057,1.600,0.565,50000,0.002,0.502
135,Flamestrike,0.041,1.300,0.513,50000,0.002,0.422
136,Shudderwock,0.054,1.000,0.489,50000,0.002,0.770
137,Doomerang,0.050,1.500,0.547,49000,0.002,0.612
138,Azure Drake,0.046,1.500,0.542,49000,0.002,0.505
139,Kill Command,0.033,1.900,0.580,48000,0.002,0.497
140,Kabal Lackey,0.036,1.400,0.609,48000,0.002,0.549
141,Warpath,0.015,1.800,0.482,48000,0.002,0.470
142,SI:7 Agent,0.041,1.900,0.586,48000,0.002,0.509
143,Firelands Portal,0.035,1.500,0.553,47000,0.002,0.496
144,Primordial Drake,0.050,1.400,0.515,46000,0.002,0.496
145,Innervate,0.036,1.500,0.566,46000,0.002,0.563
146,Volcano,0.049,1.700,0.487,46000,0.002,0.407
147,Gnomeferatu,0.042,1.100,0.546,46000,0.002,0.544
148,Awaken the Makers,0.029,1.000,0.506,45000,0.002,0.456
149,Twilight's Call,0.029,1.700,0.504,45000,0.002,0.560
150,Wandering Monster,0.037,1.700,0.578,45000,0.002,0.482
151,Bloodreaver Gul'dan,0.098,1.000,0.554,45000,0.002,0.647
152,Carnivorous Cube,0.053,1.600,0.518,45000,0.002,0.623
153,Voidlord,0.079,1.300,0.549,44000,0.002,0.569
154,Babbling Book,0.023,1.600,0.513,44000,0.002,0.464
155,Siphon Soul,0.065,1.100,0.547,44000,0.002,0.533
156,Valeera the Hollow,0.073,1.000,0.523,43000,0.002,0.604
157,Lesser Diamond Spellstone,0.058,1.900,0.551,43000,0.002,0.599
158,Flanking Strike,0.034,1.800,0.583,43000,0.002,0.480
159,Goblin Auto-Barber,0.020,1.700,0.561,43000,0.002,0.613
160,Blink Fox,0.028,1.900,0.522,42000,0.002,0.475
161,Hench-Clan Thug,0.035,2.000,0.605,42000,0.002,0.561
162,Blessing of Might,0.035,1.900,0.613,42000,0.002,0.545
163,Acidic Swamp Ooze,0.049,1.100,0.526,42000,0.002,0.451
164,Mortal Coil,0.038,1.300,0.543,42000,0.002,0.498
165,Shielded Minibot,0.028,2.000,0.599,42000,0.002,0.516
166,Arcane Artificer,0.024,1.500,0.505,40000,0.002,0.470
167,Call to Arms,0.030,1.900,0.594,40000,0.002,0.508
168,Skulking Geist,0.061,1.000,0.512,40000,0.002,0.557
